ip,endpoint,status,timestamp,execution_time,rows_scanned,joins_count,line_number,reason
172.16.109.29,/search,200,2026-03-23 16:03:00.341946,708,-100.0,5.0,8,Invalid rows_scanned
10.0.99.53,/login,200,2026-03-23 16:03:02.156985,327,-100.0,,23,Invalid rows_scanned
192.168.66.59,/login,200,2026-03-23 16:03:02.156985,-614,,1.0,26,Invalid execution_time
10.0.133.215,/profile,200,2026-03-23 16:03:02.907747,300,-100.0,2.0,39,Invalid rows_scanned
10.0.17.67,/profile,200,2026-03-23 16:03:03.160652,-461,4048.0,4.0,43,Invalid execution_time
172.16.165.182,/checkout,999,2026-03-23 16:03:03.576083,715,,,49,Invalid status
10.0.175.14,/login,200,2026-03-23 16:03:03.938976,-444,,3.0,53,Invalid execution_time
172.16.17.101,/search,999,2026-03-23 16:03:05.153030,571,3524.0,1.0,66,Invalid status
172.16.246.202,/api/data,200,2026-03-23 16:03:05.308248,-608,3999.0,,70,Invalid execution_time
192.168.177.210,/checkout,999,2026-03-23 16:03:05.541194,311,2751.0,2.0,72,Invalid status
10.0.181.144,/checkout,200,2026-03-23 16:03:06.131188,-794,3591.0,1.0,78,Invalid execution_time
172.16.120.59,/checkout,200,2026-03-23 16:03:06.456344,635,-100.0,,83,Invalid rows_scanned
192.168.181.41,/login,999,2026-03-23 16:03:08.232113,295,4398.0,5.0,112,Invalid status
192.168.41.129,/checkout,200,2026-03-23 16:03:08.232113,-453,4539.0,,114,Invalid execution_time
192.168.135.216,/login,200,2026-03-23 16:03:08.341668,-458,650.0,4.0,119,Invalid execution_time
10.0.218.20,/login,200,2026-03-23 16:03:08.502366,-596,,,120,Invalid execution_time
172.16.241.227,/checkout,200,2026-03-23 16:03:09.529760,-778,784.0,,132,Invalid execution_time
172.16.254.114,/checkout,200,2026-03-23 16:03:09.644314,-442,,,136,Invalid execution_time
172.16.33.25,/login,200,2026-03-23 16:03:10.872177,513,-100.0,,149,Invalid rows_scanned
10.0.114.161,/api/data,404,2026-03-23 16:03:10.872177,-206,,2.0,152,Invalid execution_time
10.0.251.46,/login,404,2026-03-23 16:03:11.554292,585,-100.0,3.0,155,Invalid rows_scanned
10.0.120.90,/search,200,2026-03-23 16:03:12.594604,407,-100.0,4.0,165,Invalid rows_scanned
10.0.152.216,/checkout,999,2026-03-23 16:03:14.101389,365,3136.0,,188,Invalid status
10.0.57.108,/search,500,2026-03-23 16:03:15.611095,-576,4398.0,1.0,205,Invalid execution_time
172.16.149.208,/login,999,2026-03-23 16:03:15.950252,328,,,206,Invalid status
192.168.178.207,/api/data,999,2026-03-23 16:03:15.950252,256,1734.0,,207,Invalid status
10.0.93.177,/search,999,2026-03-23 16:03:16.421574,401,,5.0,212,Invalid status
172.16.35.117,/checkout,500,2026-03-23 16:03:16.725243,579,-100.0,5.0,214,Invalid rows_scanned
10.0.181.10,/api/data,200,2026-03-23 16:03:17.858410,399,-100.0,,233,Invalid rows_scanned
172.16.6.243,/checkout,200,2026-03-23 16:03:18.198472,589,-100.0,1.0,235,Invalid rows_scanned
192.168.193.160,/profile,999,2026-03-23 16:03:18.820337,461,3998.0,1.0,237,Invalid status
172.16.124.69,/search,999,2026-03-23 16:03:19.468025,737,,2.0,246,Invalid status
172.16.136.223,/api/data,999,2026-03-23 16:03:19.468025,678,1194.0,1.0,248,Invalid status
10.0.73.116,/profile,999,2026-03-23 16:03:19.822207,510,-100.0,,250,Invalid status
192.168.8.85,/profile,999,2026-03-23 16:03:20.182242,-439,,,254,Invalid execution_time
192.168.101.64,/api/data,999,2026-03-23 16:03:20.793585,440,,,267,Invalid status
10.0.123.198,/search,999,2026-03-23 16:03:21.338924,344,1606.0,,273,Invalid status
172.16.92.102,/checkout,200,2026-03-23 16:03:21.338924,-464,1232.0,4.0,276,Invalid execution_time
172.16.38.253,/login,200,2026-03-23 16:03:22.971252,-631,1160.0,,298,Invalid execution_time
192.168.122.204,/search,200,2026-03-23 16:03:22.971252,-252,,2.0,299,Invalid execution_time
192.168.182.144,/search,200,2026-03-23 16:03:23.638815,-170,3313.0,,302,Invalid execution_time
192.168.5.234,/search,999,2026-03-23 16:03:24.001238,428,2242.0,1.0,310,Invalid status
192.168.122.181,/checkout,200,2026-03-23 16:03:24.348277,463,-100.0,3.0,315,Invalid rows_scanned
10.0.246.26,/search,999,2026-03-23 16:03:25.449874,602,1922.0,3.0,329,Invalid status
172.16.95.27,/checkout,200,2026-03-23 16:03:26.935874,-442,,,345,Invalid execution_time
192.168.226.11,/search,999,2026-03-23 16:03:26.935874,453,,4.0,349,Invalid status
172.16.12.174,/login,999,2026-03-23 16:03:27.471565,644,,1.0,353,Invalid status
10.0.131.205,/profile,999,2026-03-23 16:03:28.060592,535,,3.0,363,Invalid status
172.16.97.132,/profile,200,2026-03-23 16:03:28.982440,-686,3462.0,2.0,373,Invalid execution_time
192.168.226.112,/search,200,2026-03-23 16:03:29.810776,254,-100.0,2.0,378,Invalid rows_scanned
192.168.80.67,/checkout,200,2026-03-23 16:03:30.157553,-294,2085.0,5.0,384,Invalid execution_time
172.16.74.5,/login,200,2026-03-23 16:03:30.344790,-550,,2.0,388,Invalid execution_time
192.168.102.216,/checkout,999,2026-03-23 16:03:31.119950,207,984.0,,393,Invalid status
172.16.14.8,/profile,999,2026-03-23 16:03:31.880006,635,,,409,Invalid status
172.16.163.107,/api/data,999,2026-03-23 16:03:32.225179,858,,5.0,415,Invalid status
172.16.238.53,/checkout,500,2026-03-23 16:03:34.197279,922,-100.0,5.0,432,Invalid rows_scanned
172.16.193.50,/api/data,200,2026-03-23 16:03:34.955100,708,-100.0,,439,Invalid rows_scanned
10.0.0.54,/profile,999,2026-03-23 16:03:36.903424,557,3672.0,4.0,466,Invalid status
192.168.18.227,/api/data,500,2026-03-23 16:03:36.903424,-555,74.0,3.0,468,Invalid execution_time
